Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Up_XL_Lift_5_Excute,Default tag table,Bool,%M36.7,Excute Up XL Lift 5,True,True,True,,
Stop_JOG_Tranfer_1,Default tag table,Bool,%M39.0,,True,True,True,,
Original_TF_2,Default tag table,Bool,%M39.2,,True,True,True,,
Initial_Tranfer_2,Default tag table,Bool,%M44.0,,True,True,True,,
Pick_From4_to_6,Default tag table,Bool,%M46.3,Tín hiều di chuyển Rack từ Bath 4 đến Bath6,True,True,True,,
Pick_From4_to_5,Default tag table,Bool,%M46.4,Tin hiệu di chuyển Rack dến Bath 5,True,True,True,,
Move_Preocess_Robot_Excute,Default tag table,Bool,%M46.7,Biến Khởi Động Chu trình Robot,True,True,True,,
Edge_82,Default tag table,Bool,%M47.0,Temp 82,True,True,True,,
Down_XL_Robot_1,Default tag table,Bool,%M47.7,,True,True,True,,
Manual_Jog + Robot,Default tag table,Bool,%M49.1,Biến Manual Jog,True,True,True,,
Manual_Jog - Robot,Default tag table,Bool,%M49.2,,True,True,True,,
Axis_X_Selection,Default tag table,Bool,%I3.3,,True,True,True,,
Axis_Lift_Selection,Default tag table,Bool,%I3.4,,True,True,True,,
Manual_Jog + Lift,Default tag table,Bool,%M49.3,,True,True,True,,
Manual_Jog - Lift,Default tag table,Bool,%M49.4,,True,True,True,,
Enable_Robot,Default tag table,Bool,%M49.5,,True,True,True,,
Edge_86,Default tag table,Bool,%M49.6,Temp 86,True,True,True,,
Disable_Robot,Default tag table,Bool,%M49.7,,True,True,True,,
Edge_87,Default tag table,Bool,%M50.0,Temp87,True,True,True,,
Enable_Lift,Default tag table,Bool,%M50.1,,True,True,True,,
Edge_88,Default tag table,Bool,%M50.2,Temp 88,True,True,True,,
Disable_Lift,Default tag table,Bool,%M50.3,,True,True,True,,
Edge_89,Default tag table,Bool,%M50.4,Temp 89,True,True,True,,
Manual_Jog_FW_TF1,Default tag table,Bool,%M50.5,,True,True,True,,
Edge_90,Default tag table,Bool,%M50.6,Temp 90,True,True,True,,
Edge_91,Default tag table,Bool,%M50.7,Temp 91,True,True,True,,
Manual_Jog_BW_TF1,Default tag table,Bool,%M51.0,,True,True,True,,
Edge_92,Default tag table,Bool,%M51.1,,True,True,True,,
Edge_93,Default tag table,Bool,%M51.2,,True,True,True,,
Manual_Jog_FW_TF2,Default tag table,Bool,%M51.3,,True,True,True,,
Manual_Jog_BW_TF2,Default tag table,Bool,%M51.4,,True,True,True,,
Edge_94,Default tag table,Bool,%M51.5,Temp 94,True,True,True,,
Edge_95,Default tag table,Bool,%M51.6,Temp96,True,True,True,,
Edge_96,Default tag table,Bool,%M51.7,Temp 96,True,True,True,,
Edge_97,Default tag table,Bool,%M52.0,Temp 97,True,True,True,,
Manual_Jog_FW_Lift1,Default tag table,Bool,%M52.1,,True,True,True,,
Manual_Jog_BW_Lift1,Default tag table,Bool,%M52.2,,True,True,True,,
Edge_98,Default tag table,Bool,%M52.3,,True,True,True,,
Edge_99,Default tag table,Bool,%M52.4,,True,True,True,,
Edge_100,Default tag table,Bool,%M52.5,,True,True,True,,
Edge_101,Default tag table,Bool,%M52.6,,True,True,True,,
Manual_Jog_FW_Lift2,Default tag table,Bool,%M52.7,,True,True,True,,
Manual_Jog_BW_Lift2,Default tag table,Bool,%M53.0,,True,True,True,,
Edge_102,Default tag table,Bool,%M53.1,,True,True,True,,
Edge_103,Default tag table,Bool,%M53.2,,True,True,True,,
Edge_104,Default tag table,Bool,%M53.3,,True,True,True,,
Edge_105,Default tag table,Bool,%M53.4,,True,True,True,,
